Table
,,STREET ,CITY ,ST ,RIFLE MFG 
LLC ,,E10590 PINE ROAD ,FALL CREEK ,WI ,1 
ARMS INC ,,795 PLUM STREET ,WISCONSIN DELLS ,WI ,36 
LLC ,,209 LYNN AVE ,BARABOO ,WI ,2 
STATE ARMS GUN CO INC ,,6319 5TH AVE ,BANCROFT ,WI ,8 
LLC ,,2391 GEMINI RD ,GREEN BAY ,WI ,15 
EDWARD ,,8540 HWY 153 ,ELAND ,WI ,4 
PROTECTION LLC ,,801 SOUTH 12TH STREET ,WATERTOWN ,WI ,14 
,,W1549 STATE ROAD 23 ,MOUNT CALVARY ,WI ,3 
LLC ,,107 W COLEMAN ,RICE LAKE ,WI ,32177 
CUSTOM LLC ,,417 E ROSENLUND ST ,WOODVILLE ,WI ,2 
P ,,5728 E CTY RD X ,BELOIT ,WI ,3 
,,W213S7530 ANNES WAY ,MUSKEGO ,WI ,7 
,,W 226 N 4165 SUNDER CREEK CT ,PEWAUKEE ,WI ,19 
PRECISION LLC ,,W8907 MAPLE LN ,NIAGARA ,WI ,1 
LLC ,,1408 SOUTHRIDGE DR ,NEW LONDON ,WI ,4 
MICHAEL ,,3601 129TH ST ,CHIPPEWA FALLS ,WI ,10 
RIFLES LLC ,,601 SOUTH MAIN STREET ,OSHKOSH ,WI ,24 
GROUP LLC ,,N80W14966 APPLETON AVENUE ,MENOMONEE FALLS ,WI ,9 
INDUSTRIES INC ,,W292 S4498 HILLSIDE RD ,WAUKESHA ,WI ,214 
LLC ,,2927 ROEMER RD ,APPLETON ,WI ,2 
LLC ,,W4953 GRITTNER ST ,WESTBORO ,WI ,24 
LLC ,,100 E HAVEN DR ,WATERTOWN ,WI ,10 
"TOOL CO, LLC ",,N5338 COUNTY S ,PLYMOUTH ,WI ,3 
LLC ,,320 PUTNAM STREET SUITE 7 ,EAU CLAIRE ,WI ,16 
TATE ,,452 N 8TH STREET ,RIVER FALLS ,WI ,7 
LLC ,,1452 SHERIDAN RD ,KENOSHA ,WI ,7 
LLC ,,W185 N11521 WHITNEY DR ,GERMANTOWN ,WI ,107 
,,1720 N CLAIRMONT AVENUE ,EAU CLAIRE ,WI ,2 
LLC ,,226 S WALES RD ,WALES ,WI ,7 
LLC ,,1 TAUNTON CIRCLE ,MADISON ,WI ,4 
TRADING COMPANY LLC ,,120 HEWES AVENUE ,CLARKSBURG ,WV ,17 
TACTICAL LLC ,,4641 RIPLEY RD ,REEDY ,WV ,12 
,,,,,


