Table
KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG 
93304924 ,JUGGERNAUT TACTICAL INC ,931 N PARKER ST ,ORANGE ,CA ,622 
97703245 ,"KAUFMANN TACTICAL FIREARMS, INC ",5816 E SHIELDS #102 ,FRESNO ,CA ,22 
96802409 ,LILLARD MANUFACTURING INC ,1230 HARTER AVE SUITE E ,WOODLAND ,CA ,731 
97703356 ,"MATTHEWS, KEITH S ",4673 E WEATHERMAKER AVE ,FRESNO ,CA ,1 
97702943 ,"MATTHEWS, KEITH SCOTT ",13607 E SHEPHERD AVE ,CLOVIS ,CA ,1 
93306659 ,"OCELLO, RONALD MILLARD ",1931 NORTH KELLY AVE ,UPLAND ,CA ,12 
97703060 ,TARAN TACTICAL INNOVATIONS LLC ,1250 TIERRA REJADA RD ,SIMI VALLEY ,CA ,36 
93305018 ,TEMECULA QUALITY PLATING INC ,43095 BLACKDEER LOOP ,TEMECULA ,CA ,202 
93304987 ,TPM ARMS LLC ,246 DENNY WAY ,EL CAJON ,CA ,23 
93304827 ,TRIP WIRE LLC ,7960 SILVERTON AVE STE 105 ,SAN DIEGO ,CA ,45 
93305884 ,VK INTEGRATED SYSTEMS ,1250 E ORANGETHORPE ,FULLERTON ,CA ,12 
97702945 ,"VON COLLN, JOHN ",3166 E THOUSAND OAKS BLVD ,THOUSAND OAKS ,CA ,29 
58404425 ,ALAN & WILLIAM ARMS INC ,28271 CR 9 ,WILD HORSE ,CO ,1 
58407061 ,"CASSARA, ROBERT ",19499 EAST BROWN DR ,AURORA ,CO ,13 
58407295 ,DICKS HOBBY SHOP LLC ,1406 W 8TH ST ,LOVELAND ,CO ,1 
58405564 ,DTCC INC ,549 BOGART LANE ,GRAND JUNCTION ,CO ,3 
58404005 ,JPM PROTOTYPE & MEG INC ,4745 FORGE RD ,COLORADO SPRINGS ,CO ,1 
58406824 ,KEPPDEZIN LLC ,1932 BROOKWOOD DR ,COLORADO SPRINGS ,CO ,1 
58404215 ,PURSUIT-AIR-CRAFTERS LLC ,113 N MILL ST UNIT A ,SILVER CLIFF ,CO ,2 
58407287 ,SMK INDUSTRIES LLC ,452 E STAGECOACH TRAIL ,ELIZABETH ,CO ,2 
58404859 ,WELLINGTON ARMS LLC ,8900 W 1ST ST ,WELLINGTON ,CO ,40 
60603306 ,COLT'S MANUFACTURING COMPANY LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,6320 
60602995 ,DELTA LEVEL DEFENSE LLC ,40 EMBREE STREET ,STRATFORD ,CT ,16 
60603496 ,"DOSS, JUSTIN BLAIR ",26 CHICKOPEE RD ,MIDDLEFIELD ,CT ,32 
60603459 ,KINETIC DEVELOPMENT GROUP LLC ,71 COGWHEEL LANE ,SEYMOUR ,CT ,300 
60603213 ,METALLURGICAL PROCESSING INC ,68 ARTHUR ST ,NEW BRITAIN ,CT ,87 
15949978 ,AAL HOLDINGS OF HIGHLANDS INC ,5810 STATE ROAD 66 ,SEBRING ,FL ,2 
15912791 ,ADEQ FIREARMS COMPANY ,4921 WEST CYPRESS STREET ,TAMPA ,FL ,2 
15905746 ,"AMERICAN VINTAGE GUN AND PAWN, INC ",4920 LENA RD UNIT 102 & 103 ,BRADENTON ,FL ,11 
15905536 ,ANZIO IRONWORKS CORP ,14605 49TH STREET N STE 8 ,CLEARWATER ,FL ,1 
15907991 ,ARES DEFENSE SYSTEMS INC ,295 NORTH DRIVE SUITE H ,MELBOURNE ,FL ,698 
15930118 ,ARTICLE II FIREARMS LLC ,25430 NW 8TH LN STE 100 ,NEWBERRY ,FL ,22 
15932857 ,BALLISTIC ADVANTAGE LLC ,2516 JMT INDUSTRIAL DR UNITS 106-110 ,APOPKA ,FL ,12 
15932631 ,BAYMAR SOLUTIONS LLC ,5418 W CRENSHAW ST ,TAMPA ,FL ,16 
15931644 ,BLACK CREEK PRECISION LLC ,"5151 SUNBEAM ROAD SUITE 9,10,11 ",JACKSONVILLE ,FL ,320 


