Table
KEY ,LICENSE NAME ,,STREETI ,CITY ,ST ,MISC FA MFG 
,THE OUTPOST ARMORY LLC ,,2002 EMA DELL PL ,LOGANVILLE ,GA ,3 
,TITLE 2 INVESTMENTS LLC ,,961 ROSS PLACE SUITE A ,LAVONIA ,GA ,2 
,"WALKER TOOL & MFG, INC ",,1300 ROSS RD ,SHADY DALE ,GA ,2 
,BROWNELLS INC ,,200 S FRONT ST ,MONTEZUMA ,IA ,931 
,"CHELGREN, JANET LEE ",,398 W 230TH STREET ,BLOOMFIELD ,IA ,24 
,CREATIVE ARMS LLC ,,1430 EAST FLEMING AVE ,DES MOINES ,IA ,9 
,FARRO'S LEAD FARM LLC ,,30376 210TH AVENUE ,LONG GROVE ,IA ,80 
,JARD INC ,,3149 NEST AVE ,SHELDON ,IA ,13 
,V CUSTOM INC ,,24276 240TH ST ,CARROLL ,IA ,212 
,AR CUSTOMS LLC ,,1081 E STONEYBROOK LOOP ,POST FALLS ,ID ,4 
,AXIAL PRECISION LLC ,,4910 W DENTON ,BOISE ,ID ,3 
,BAT MACHINE CO INC ,,6148 W SELTICE WAY ,POST FALLS ,ID ,687 
,"CHANDLER, MARTIN ",,616 SOUTH MAIN ,HAILEY ,ID ,1 
,LONE WOLF R&D LLC ,,106 SHANNON LN STE B ,PRIEST RIVER ,ID ,1747 
,METAL CRAET MANUFACTURING LLC ,,1251 N MIDLAND BLVD ,NAMPA ,ID ,2 
,NEXT GENERATION ARMS LLC ,,11836 N TRACEY RD ,HAYDEN ,ID ,199 
,"ROGERS, DAVID J ",,3025 LEADVILLE ,BOISE ,ID ,2 
,SEEKINS PRECISION LLC ,,159 AMERICAN WAY ,LEWISTON ,ID ,3136 
,TACTICAL INNOVATIONS INC ,,345 SUNRISE RD ,BONNERS FERRY ,ID ,343 
,TACTICAL SOLUTIONS INC ,,2772 S VICTORY VIEW WAY ,BOISE ,ID ,1127 
,VENGEANCE ARMS LLC ,,246 CALDWELL BLVD ,NAMPA ,ID ,43 
,WILKINSON ARMS LLC ,,14754 MURPHY FLAT ROAD ,MURPHY ,ID ,5 
,IMPERIAL ARMS CO ,,8176 OLD RIDGE RD ,PLAINFIELD ,IL ,34 
,KREBS CUSTOM INC ,,1000 N RAND RD #106 AND #105 ,WAUCONDA ,IL ,3 
,LEWIS MACHINE & TOOL CO ,,1305 W 11TH ST ,MILAN ,IL ,2017 
,"MCCLURE, KEVIN ",,825 BANTA RD ,LOWPOINT ,IL ,25 
,"PAWLOWSKI, MATTHEW ALAN ",,9520 PAULING RD ,MONEE ,IL ,10 
,STRATEGIC ARMORY CORPS LLC ,,745 HANFORD ST ,GENESEO ,IL ,864 
,AFSOL INC ,,6869 COUNTY ROAD 11A ,AUBURN ,IN ,6 
,BCI DEFENSE LLC ,,545 N BOWEN AVE ,BREMEN ,IN ,1445 
,DEPUTY BIG SHOT LLC ,,10214 W DEPUTY PIKE RD ,DEPUTY ,IN ,27 
,FOSTECH INC ,,8620 N US HWY 31 ,SEYMOUR ,IN ,29 
,FOSTECH MFG LLC ,,8620 N US HWY 31 ,SEYMOUR ,IN ,6028 
,"HAVERKAMP, THOMAS J ",,4850 N 13TH ST ,TERRE HAUTE ,IN ,6 
,M4INC LLC ,,1016 DIVISION ST ,MISHAWAKA ,IN ,7 


