Table
RDS KEY ,LICENSE NAME ,STREEI ,CITY ,ST ,MISC FA MFG 
54340380 ,THE CUTTING EDGE PRECISION MACHINING SERVICES INC ,1150 PROGRESS ST ,MOUNT VERNON ,MO ,1721 
16403789 ,"BRYANT'S MACHINE SHOP, INC ",5734 HWY 80 W ,JACKSON ,MS ,8 
16404072 ,COTTON BRANCH CUSTOM FIREARMS LLC ,915 ALLEN RD ,SMITHDALE ,MS ,1 
16403788 ,MID STATE FIREARMS LLC ,309B MORRISON DRIVE ,CLINTON ,MS ,34 
16404549 ,REMINGTON ARMS COMPANY LLC ,366 STATELINE RD ,SOUTHAVEN ,MS ,33377 
16404665 ,SANFORD'S SOUTHERN ARMS LLC ,4344 LANGS MILL RD ,FOREST ,MS ,4 
16403899 ,TGC OUTDOORS LLC ,662 HWY 7 NORTH ,ABBEVILLE ,MS ,46 
16404405 ,TRIGGER TIME INDOOR SHOOTING RANGE INC ,120 AIRPARK ROAD ,TUPELO ,MS ,1 
98101194 ,BLACK GOLD CUSTOM ARMS INC ,312A ANDREA DRIVE ,BELGRADE ,MT ,31 
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR ,BIG TIMBER ,MT ,11 
98101101 ,"CHRISTOFERSON, BRYAN EUGENE ",2011 BARRETT RD ,BILLINGS ,MT ,1 
98101132 ,COOPER FIREARMS OF MONTANA INC ,3662 US HWY 93 NORTH ,STEVENSVILLE ,MT ,63 
98101187 ,DEFIANCE MACHINE INC ,3881 MT HWY 40 W ,COLUMBIA FALLS ,MT ,2911 
98102105 ,"FALKOR, SID INC ",2902 HWY 93 NORTH ,KALISPELL ,MT ,441 
98101949 ,NIKAO OUTDOOR MEDIA LLC ,940 5TH ST ,MISSOULA ,MT ,36 
98101706 ,NOREEN FIREARMS LLC ,131 JETWAY DRIVE ,BELGRADE ,MT ,15005 
98102404 ,THOMPSON PRECISION INC ,1885 WHITEFISH STAGE RD ,KALISPELL ,MT ,4 
98102542 ,UNDER THE ROCK ENTERPRISES LLC ,2840 EDWARDS ,BUTTE ,MT ,1 
98102557 ,"WHEELER, ALEX ",1213 EAST GLENDALE STREET ,DILLON ,MT ,2 
15608525 ,ANSON TACTICAL ARMS LLC ,2975 WHITE STORE RD ,WADESBORO ,NC ,38 
15606622 ,BEAR CREEK ARSENAL LLC ,310 MCNEILL RD ,SANFORD ,NC ,1145 
15612102 ,BLACK WIDOW TACTICAL LLC ,213 VALLEY FIELD ROAD ,STONEVILLE ,NC ,18 
15604330 ,CHATHAM ARMS LLC ,130 MINT SPRINGS RD ,PITTSBORO ,NC ,1 
15604397 ,FTA FIREARMS INC ,819 COLONIAL DRIVE ,RALEIGH ,NC ,
15611475 ,ICGW INC LLC ,4129 BURNWOOD TRAIL ,DENVER ,NC ,2 
15610860 ,INSURGENT TACTICAL LLC ,58 CUTTER CIRCLE ,SANFORD ,NC ,7 
15610779 ,JAMES RIVER ARMORY ,745 HWY 117 S ,BURGAW ,NC ,786 
15612554 ,LEGION RIFLEWORKS LLC ,6209 PANDEROSA RD ,SANFORD ,NC ,1 
15612267 ,"MCCOON, DANIEL W II ",3509 C WEST VERNON AVE ,KINSTON ,NC ,16 
15610787 ,"MOORE, BETTY H ",3701 NC 89 HWY E ,WALNUT COVE ,NC ,1 
15609732 ,NEWTOWN FIREARMS MANUFACTURING LLC ,751 S. CHURCH ST ,GOLDSTON ,NC ,1 
15610245 ,STUMPIES CUSTOM GUNS INC ,628 W CORBETT AVE ,SWANSBORO ,NC ,5 
15609063 ,STURM RUGER & COMPANY INC ,271 CARDWELL RD ,MAYODAN ,NC ,16654 
15604897 ,TOP ENDS ETC INC ,6935 WILDWOOD TRL ,THOMASVILLE ,NC ,1 


