Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,MISC FA MFG 
99103482 ,MEGA ARMS LLC ,3507 NORTHPARK DRIVE ,CENTRALIA ,WA ,3439 
99106842 ,PIT BULL ARMS LLC ,18833 SE RENTON MAPLE VALLEY ROAD ,MAPLE VALLEY ,WA ,1 
99105518 ,STARLOS FIREARMS LLC ,3824 HOLLYWOOD DR NE ,OLYMPIA ,WA ,14 
99107453 ,ZEV TECHNOLOGIES INC ,3507 NORTHPARK DRIVE ,CENTRALIA ,WA ,115 
99107069 ,ZEV TECHNOLOGIES INC ,3712 NORTHPARK DRIVE ,CENTRALIA ,WA ,1841 
33908009 ,BADGER STATE ORDNANCE LLC ,17 1/2 WILSON AVE ,WESTON ,WI ,1 
33907555 ,GADSDEN SERVICES LLC ,2391 GEMINI RD ,GREEN BAY ,WI ,14 
33901982 ,GARY'S GUNS INC ,W 226 N 1455 NORTH AVENUE ,WAUKESHA ,WI ,2 
33908953 ,HIGH VOLTAGE CUSTOM LLC ,417 E ROSENLUND ST ,WOODVILLE ,WI ,1 
33907431 ,MGS HOLDINGS GROUP LLC ,N80W14966 APPLETON AVENUE ,MENOMONEE FALLS ,WI ,33 
33906684 ,OEM TECHNOLOGIES LLC ,2927 ROEMER RD ,APPLETON ,WI ,7 
33907955 ,TYCOR DEFENSE MANUFACTURING LLC ,6643 W SPOKANE ST ,MILWAUKEE ,WI ,22 
33907069 ,WIS MACHINE & TOOL INC ,2525 S 162ND STREET ,NEW BERLIN ,WI ,199 
33907594 ,WORKS ARMAMENT LLC ,1 TAUNTON CIRCLE ,MADISON ,WI ,9 
45503692 ,CHILDERS GUNS LLC ,521 GASTON AVE ,FAIRMONT ,WV ,2316 
45503183 ,HARPERS FERRY ARMORY INC ,301 N MILDRED ST ,RANSON ,WV ,29 
45503406 ,"HEXOM, JONATHAN ",337 FLATROCK RUN ,DRYFORK ,WV ,6 
45502891 ,"HOSTETTER, MARK A ",74 DUPONT RD SUITE A ,MARTINSBURG ,WV ,83 
45502547 ,J W MANUFACTURING LLC ,703 MIDDLETOWN RD ,FAIRMONT ,WV ,230 
58301108 ,DRAGOON ARMORY LLC ,607 E LINCOLNWAY ,CHEYENNE ,WY ,6 
58301679 ,INDUSTRIAL SCREEN AND MAINTENANCE INC ,750 EAST F ST ,CASPER ,WY ,1 
58301302 ,PERFORMANCE OIL TOOLS INC ,3420 BIG HORN AVE ,CODY ,WY ,6 
58301883 ,"VAPOR TRAIL PRECISION ARMS, LLC ",4048 STRAWBERRY CREEK RD ,BEDFORD ,WY ,3 
58301472 ,WYO ARMS LLC ,6503 CROSSBOW TRAIL ,CHEYENNE ,WY ,21 


