Table
RDS KEY ,LICENSE NAME ,SIREET ,CITY ,ST ,MISC FA MFG 
16404072 ,COTTON BRANCH CUSTOM FIREARMS LLC ,915 ALLEN RD ,SMITHDALE ,MS ,1 
16404850 ,DSP ARMORY INC ,204 N GAITHER ST ,FULTON ,MS ,2 
16403539 ,FIANNA SYSTEMS LLC ,2974 JEFFERSON ST ,MACON ,MS ,44 
16404333 ,HELANBAK LLC ,1481 HWY 13 N ,COLUMBIA ,MS ,48 
16404549 ,REMINGTON ARMS COMPANY LLC ,366 STATELINE RD ,SOUTHAVEN ,MS ,4645 
16405159 ,SPUNKMEYER ARMAMENT LLC ,3064B HWY 53 ,POPLARVILLE ,MS ,6 
16403899 ,TGC OUTDOORS LLC ,662 HWY 7 NORTH ,ABBEVILLE ,MS ,31 
16404405 ,TRIGGER TIME INDOOR SHOOTING RANGE INC ,120 AIRPARK ROAD ,TUPELO ,MS ,2 
98102490 ,"BEARDSLEY, TED ",308 E MAIN ST ,MANHATTAN ,MT ,25 
98101194 ,BLACK GOLD CUSTOM ARMS INC ,312A ANDREA DRIVE ,BELGRADE ,MT ,31 
98155388 ,C SHARPS ARMS CO INC ,100 CENTENNIAL DR ,BIG TIMBER ,MT ,10 
98101132 ,COOPER FIREARMS OF MONTANA INC ,3662 US HWY 93 NORTH ,STEVENSVILLE ,MT ,64 
98101187 ,DEFIANCE MACHINE INC ,3881 MT HWY 40 W ,COLUMBIA FALLS ,MT ,2340 
98102105 ,"FALKOR, SID INC ",2902 HWY 93 NORTH ,KALISPELL ,MT ,2 
98101706 ,NOREEN FIREARMS LLC ,131 JETWAY DRIVE ,BELGRADE ,MT ,1629 
98101499 ,PROOF RESEARCH INC ,10 WESTERN VILLAGE LANE ,COLUMBIA FALLS ,MT ,5 
98102404 ,THOMPSON PRECISION INC ,1885 WHITEFISH STAGE RD ,KALISPELL ,MT ,10 
98100454 ,VALLEY MACHINE & ENGINEERING INC ,61 ANDREA DR ,BELGRADE ,MT ,13 
98102557 ,"WHEELER, ALEX ",1213 EAST GLENDALE STREET ,DILLON ,MT ,2 
15609805 ,AJ GUNS LLC ,423 BETHLEHEM RD ,KNIGHTDALE ,NC ,20 
15608525 ,ANSON TACTICAL ARMS LLC ,2975 WHITE STORE RD ,WADESBORO ,NC ,8 
15606622 ,BEAR CREEK ARSENAL LLC ,310 MCNEILL RD ,SANFORD ,NC ,749 
15610544 ,BEARING ARMS GUN & TACTICAL LLC ,55 AIRPORT RD ,TAYLORSVILLE ,NC ,8 
15611271 ,"BULLINS, ODELL WILLIAM & DENNIS, RAY ",RT 3 HWY 89 & 311 ,WALNUT COVER ,NC ,
15604330 ,CHATHAM ARMS LLC ,130 MINT SPRINGS RD ,PITTSBORO ,NC ,1 
15611886 ,CREEK SPORTS SHOP LLC ,300 HARRIS CREEK RD ,JACKSONVILLE ,NC ,4 
15611777 ,DAVIS PRECISION GUNWORKS LLC ,1180 OCEAN HWY N ,HERTFORD ,NC ,10 
15612365 ,INNOVATIVE ENDEAVORS INC ,111 DEALWOOD DR ,STATESVILLE ,NC ,15 
15610860 ,INSURGENT TACTICAL LLC ,58 CUTTER CIRCLE ,SANFORD ,NC ,9 
15610779 ,JAMES RIVER ARMORY ,745 HWY 117 S ,BURGAW ,NC ,591 
15610787 ,"MOORE, BETTY H ",3701 NC 89 HWY E ,WALNUT COVE ,NC ,1 
15610110 ,P&M PERFORMANCE RACING ENGINES INC ,5424 RICHLANDS HWY ,JACKSONVILLE ,NC ,4 
15611407 ,POLY-TECH INDUSTRIAL INC ,13728 STATESVILLE RD ,HUNTERSVILLE ,NC ,100 
15604464 ,RANDOLPH MACHINE INC ,1206 UWHARRIE ST ,ASHEBORO ,NC ,2 
15609181 ,"SERIG,SCOT ROBERT ",2704 TOWNES DRIVE ,GREENVILLE ,NC ,10 


