Table
RDS KEY ,LICENSE NAME ,STREET ,CITY ,ST ,PISTOLS 
57104386 ,NIGHTHAWK CUSTOM LLC ,1306 WEST TRIMBLE AVE ,BERRYVILLE ,AR ,110 
57104512 ,FEDERAL ARMAMENT LLC ,5730 N 6TH ST ,FORT SMITH ,AR ,51 
57134716 ,WILSONS GUN SHOP INC ,2452 CR 719 ,BERRYVILLE ,AR ,103 
98607665 ,STRATEGIC ARMORY CORPS LLC ,525 E PINNACLE PEAK RD STE 100 ,PHOENIX ,AZ ,4 
98614472 ,"STURM, RUGER & COMPANY, INC ",200 RUGER RD ,PRESCOTT ,AZ ,8276 
98600788 ,PATRIOT ORDNANCE FACTORY INC ,1492 W VICTORY LANE ,PHOENIX ,AZ ,13 
98612151 ,"STINNETT, CODY CLARK ",3250 W BRYANT AVE ,SNOWFLAKE ,AZ ,3 
93303891 ,JV INDUSTRIES LLC ,15810 CAJON BLVD ,SAN BERNARDINO ,CA ,17 
93301600 ,FMK FIREARMS INCORPORATED ,1025 A ORTEGA WAY / 1005 ORTEGA WAY ,PLACENTIA ,CA ,165 
58408587 ,"HARTKE, LONNIE EUGENE ",1149 N PICKETWIRE LN ,PUEBLO WEST ,CO ,1 
60603306 ,COLT'S MANUFACTURING COMPANY LLC ,545 NEW PARK AVE ,WEST HARTFORD ,CT ,1812 
15912717 ,JACKSON BEARING E SUP INC ,PO BOX 311 201 6TH ST SW ,WINTER HAVEN ,FL ,
15923596 ,TAURUS INTERNATIONAL MANUFACTURING INC ,16175 NW 49TH AVE ,MIAMI ,FL ,390 
15949016 ,CW GUNWERKS LLC ,10705 SW 216TH ST UNIT 215 ,MIAMI ,FL ,5 
15903222 ,SCCY INDUSTRIES LLC ,1800 CONCEPT COURT ,DAYTONA BEACH ,FL ,270 
15940806 ,KEL TEC CNC INDUSTRIES INC ,1475 COX ROAD ,COCOA ,FL ,213 
15932303 ,CSI SUPPLIES INC ,2854 STIRLING RD STE Q ,HOLLYWOOD ,FL ,6 
15890327 ,GLOCK INC ,6000 HIGHLANDS PKWY ,SMYRNA ,GA ,110943 
15811601 ,SHOOTER'S VALHALLA LLC ,6201 VETERANS PARKWAY SUITE E ,COLUMBUS ,GA ,1 
15840168 ,MEGGITT TRAINING SYSTEMS INC ,296 BROGDON RD ,SUWANEE ,GA ,10 
15813136 ,DANIEL DEFENSE INC ,1334 ORACAL PARKWAY ,BLACK CREEK ,GA ,24 
54210302 ,"JOHNSON, ROBERT DEAN ",RR #1 ,TINGLEY ,IA ,
54201889 ,V CUSTOM INC ,24276 240TH ST ,CARROLL ,IA ,52 
54201706 ,LES BAER CUSTOM INC ,1804 IOWA DR ,LE CLAIRE ,IA ,242 
54204537 ,VOLQUARTSEN FIREARMS INC ,24276 240TH STREET ,CARROLL ,IA ,21 
98201252 ,PRIMARY WEAPONS SYSTEMS INC ,255 N. STEELHEAD WAY ,BOISE ,ID ,3 
33635798 ,SPRINGFIELD INC ,420 W MAIN ST ,GENESEO ,IL ,693 
33606205 ,CARNE CUSTOMS LLC ,4808 BURMAN DR ,CRYSTAL LAKE ,IL ,7 
43505665 ,BURBET IMPORTS ,PO BOX 1683 ,HIGHLAND ,IN ,
57205507 ,PRO BOHA ENTERPRISES LLC ,44 ROY BLAIR RD ,DEVILLE ,LA ,1 
60401684 ,SMITH & WESSON CORP ,2100 ROOSEVELT AVE ,SPRINGFIELD ,MA ,25406 
60435456 ,"SAEILO, INC ",130 GODDARD MEMORIAL DR ,WORCESTER ,MA ,121 
34101717 ,NORDIC COMPONENTS INC ,79 EAST 8TH STREET ,WACONIA ,MN ,40 
54310039 ,"BIXLER, CHRISTOPHER A ",213 MORGAN ST ,AUXVASSE ,MO ,4 
54339122 ,"ED BROWN PRODUCTS, INC ",43825 MULDROW TRAIL ,PERRY ,MO ,13 
16404549 ,REMINGTON ARMS COMPANY LLC ,366 STATELINE RD ,SOUTHAVEN ,MS ,827 


