Table
RDS KEY ,LICENSE NAME ,,STREET ,City ,ST ,RIFLE EXP 
15609063 ,STURM RUGER & COMPANY INC ,,271 CARDWELL RD ,MAYODAN ,NC ,15544 
60202899 ,CARACAL USA LLC ,,33 PISCATAQUA DR ,NEWINGTON ,NH ,2 
60201816 ,SIG SAUER INC ,,72 PEASE BLVD ,NEWINGTON ,NH ,2254 
60202554 ,WHITE BIRCH AMMO LLC ,,50 CROSBY ROAD UNIT 2 ,DOVER ,NH ,4 
60200735 ,"STURM, RUGER & COMPANY, INC ",,529 SUNAPEE ST ,NEWPORT ,NH ,24186 
82200698 ,HENRY RAC HOLDING CORP ,,59 E 1ST ST ,BAYONNE ,NJ ,10885 
98803415 ,BATTLE ARMS DEVELOPMENT INC ,,451 E SUNSET RD ,HENDERSON ,NV ,11 
98804841 ,"FRANKLIN ARMORY, INC. ",,2246 PARK PLACE SUITE B ,MINDEN ,NV ,20 
61602170 ,JUST RIGHT CARBINES LLC ,,231 SALTONSTALL ST ,CANANDAIGUA ,NY ,530 
61602475 ,REMINGTON ARMS COMPANY LLC ,,14 HOEFLER AVE ,ILION ,NY ,270 
61100308 ,LRB OF LONG ISLAND INC ,,96 CHERRY LANE ,FLORAL PARK ,NY ,3 
61300458 ,KIMBER MFG INC ,,1120 SAW MILL RIVER RD ,YONKERS ,NY ,478 
61601132 ,"AMCHAR WHOLESALE, INC ",,100 AIRPARK DR ,ROCHESTER ,NY ,130 
61604450 ,SON OF A GUN LLC ,,60 SYRACUSE ST ,BALDWINSVILLE ,NY ,12 
61603552 ,"BORDWELL, DILLON JAMES ",,7205 US RT 11 ,TULLY ,NY ,2 
99337182 ,TNW FIREARMS INC ,,55325 TIMBER RD ,VERNONIA ,OR ,648 
99301142 ,"NOSLER, INC ",,2115 SW 6TH STREET ,REDMOND ,OR ,18 
99301937 ,TORNADO TECHNOLOGIES LLC ,,2020 NE ALOCLEK DR SUITE 102 ,HILLSBORO ,OR ,1 
99304642 ,ERATHR3 LLC ,,484 PLEASANT VALLEY ROAD ,MERLIN ,OR ,16 
82305100 ,GEISSELE AUTOMATICS LLC ,,800 NORTH WALES ROAD ,NORTH WALES ,PA ,14 
82300479 ,PNEU DART INC ,,15223 STATE ROUTE 87 ,WILLIAMSPORT ,PA ,244 
82304234 ,LANCER SYSTEMS LP ,,2800 MILFORD SQUARE PKE ,QUAKERTOWN ,PA ,10 
82338992 ,"BORDEN, JAMES F ",,1325 SHELDON HILL ROAD ,SPRINGVILLE ,PA ,4 
82307692 ,"PRITTS, WESTON LEE & BURIAN, ANTHONY ",WILLIAM ,100 W SECOND ST UNIT 7 ,HUMMELSTOWN ,PA ,10 
15702581 ,"FN AMERICA, LLC ",,797 OLD CLEMSON ROAD ,COLUMBIA ,SC ,3 
15705683 ,CHEYTAC USA LLC ,,10162 BELLWRIGHT RD UNIT C ,SUMMERVILLE ,SC ,2 
15706227 ,"PETRELLA, CHARLES M ",,568 GEORGE BISHOP PARKWAY ,MYRTLE BEACH ,SC ,1 
34633475 ,H S PRECISION INC ,,1301 TURBINE DR ,RAPID CITY ,SD ,8 
34600877 ,REMINGTON ARMS COMPANY LLC ,,1209 AND 1310 INDUSTRY RD ,STURGIS ,SD ,17 
34600878 ,REMINGTON ARMS COMPANY LLC ,,1310 INDUSTRY RD ,STURGIS ,SD ,18 
16236907 ,BARRETT FIREARMS MEG INC ,,5926 MILLER LANE ,MURFREESBORO ,TN ,797 
16206692 ,COW HOUSE ENTERPRISES LLC ,,5520 STARKS RD ,CROSS PLAINS ,TN ,4 
16208339 ,BERETTA USA CORP ,,1399 GATEWAY DR ,GALLATIN ,TN ,17 
57409332 ,SW TEXAS SECURITY LLC ,,2011 E MAIN ,UVALDE ,TX ,11 
57434208 ,"MAVERICK ARMS, INC ",,1001 INDUSTRIAL BLVD ,EAGLE PASS ,TX ,5758 


